iter	RMSE
0	0.8528364797
1	0.7227021929
2	0.61155521
3	0.538788968
4	0.465654253
5	0.4169537742
6	0.3617263692
7	0.3146379972
8	0.2820140138
9	0.2523845934
10	0.228299193
11	0.2085005893
12	0.1902763489
13	0.1764873396
14	0.160958856
15	0.151034159
16	0.1422727064
17	0.133690883
18	0.1263107735
19	0.1197844404
20	0.1123047872
21	0.1079053502
22	0.1033941154
23	0.09888973397
24	0.09607884418
25	0.09301624897
26	0.08917657826
27	0.08720502342
28	0.0860866318
29	0.08514524046
30	0.08378453132
31	0.0816442716
32	0.07949610032
33	0.07890180355
34	0.07604800735
35	0.0738969699
36	0.07275648842
37	0.07168990833
38	0.07028433541
39	0.06949697009
40	0.06829697938
41	0.06751681214
42	0.06651284702
43	0.06503986286
44	0.06449864932
45	0.06392161174
46	0.06370481846
47	0.06329542867
48	0.06285123106
49	0.06074995405
50	0.05878813799
51	0.05654306854
52	0.05472215908
53	0.05337909558
54	0.05269840214
55	0.0515885325
56	0.05044837114
57	0.04996111178
58	0.04908366906
59	0.0484868726
60	0.04770755217
61	0.04730408172
62	0.04714343568
63	0.04616376485
64	0.04556717846
65	0.04430359226
66	0.04409148505
67	0.04297080144
68	0.04250110639
69	0.04197311585
70	0.04096399012
71	0.03975790681
72	0.03954131882
73	0.03870870742
74	0.03814000615
75	0.03705522619
76	0.03695448307
77	0.03636313895
78	0.03545979587
79	0.03524873095
80	0.03508376811
81	0.03476479136
82	0.03424029745
83	0.03416027147
84	0.03360039846
85	0.03285600676
86	0.03192200667
87	0.03113503877
88	0.03105589177
89	0.03028770826
90	0.02967298824
91	0.02894619183
92	0.02837150421
93	0.02760342054
94	0.02707277938
95	0.02639650399
96	0.02564877175
97	0.02500468718
98	0.02469237809
99	0.0241337564
100	0.02333894835
101	0.02302242299
102	0.02277824462
103	0.02211944941
104	0.02164155988
105	0.02146944565
106	0.02115169941
107	0.02085072888
108	0.02055948269
109	0.02044288401
110	0.01986258023
111	0.01952360061
112	0.01946537117
113	0.0190002691
114	0.01881895502
115	0.01823605355
116	0.01801657812
117	0.01798990241
118	0.01749939252
119	0.01747767193
120	0.01710678373
121	0.01690798657
122	0.01684439941
123	0.01660096386
124	0.01636075539
125	0.01615486195
126	0.01602293019
127	0.01586799404
128	0.01553011886
129	0.01531185839
130	0.01498314744
131	0.0149218172
132	0.01468655613
133	0.01467118079
134	0.01434308434
135	0.0139941456
136	0.0136321962
